g,post,facing,sb,action,share,n_ctx
NEG_non,0,other,1,fold,0.887627397260274,45625
SP_ev,0,other,1,call,0.9836065573770492,61
SP_ev,0,other,1,fold,0.01639344262295082,61
SP_non,0,other,1,bet_raise,0.0021626297577854673,4624
SP_non,0,other,1,call,0.2203719723183391,4624
SP_non,0,other,1,fold,0.7774653979238755,4624
NEG_non,0,other,2,bet_raise,0.04414727269238886,52121
NEG_non,0,other,2,call,0.29982156904126933,52121
NEG_non,0,other,2,fold,0.6560311582663417,52121
SP_ev,0,other,2,bet_raise,0.05687203791469194,211
SP_ev,0,other,2,call,0.8957345971563981,211
SP_ev,0,other,2,fold,0.04739336492890995,211
SP_non,0,other,2,bet_raise,0.028939474148579496,5667
SP_non,0,other,2,call,0.4637374272101641,5667
SP_non,0,other,2,fold,0.5073230986412564,5667
NEG_non,0,other,3,bet_raise,0.36063280760140837,20733
NEG_non,0,other,3,call,0.34896059422177206,20733
NEG_non,0,other,3,fold,0.2904065981768196,20733
SP_ev,0,other,3,bet_raise,0.3106060606060606,132
SP_ev,0,other,3,call,0.6439393939393939,132
SP_ev,0,other,3,fold,0.045454545454545456,132
SP_non,0,other,3,bet_raise,0.2546852474771744,2081
SP_non,0,other,3,call,0.5300336376741951,2081
SP_non,0,other,3,fold,0.21528111484863047,2081
NEG_non,0,other,4,bet_raise,0.7436032246757799,5706
NEG_non,0,other,4,call,0.08955485453908167,5706
NEG_non,0,other,4,fold,0.16684192078513846,5706
SP_ev,0,other,4,bet_raise,0.4807692307692308,52
SP_ev,0,other,4,call,0.4423076923076923,52
SP_ev,0,other,4,fold,0.07692307692307693,52
SP_non,0,other,4,bet_raise,0.6224677716390423,543
SP_non,0,other,4,call,0.26335174953959484,543
SP_non,0,other,4,fold,0.1141804788213628,543
NEG_non,0,partner,0,call,0.013686131386861315,5480
NEG_non,0,partner,0,fold,0.9863138686131386,5480
SP_non,0,partner,0,call,0.02962962962962963,270
SP_non,0,partner,0,fold,0.9703703703703703,270
NEG_non,0,partner,1,bet_raise,0.0014818688981868898,11472
NEG_non,0,partner,1,call,0.10808926080892609,11472
NEG_non,0,partner,1,fold,0.890428870292887,11472
SP_ev,0,partner,1,call,0.9375,32
SP_ev,0,partner,1,fold,0.0625,32
SP_non,0,partner,1,call,0.10309278350515463,582
SP_non,0,partner,1,fold,0.8969072164948454,582
NEG_non,0,partner,2,bet_raise,0.046328739391107994,12843
NEG_non,0,partner,2,call,0.2984505177917932,12843
NEG_non,0,partner,2,fold,0.6552207428170989,12843
SP_ev,0,partner,2,call,0.9732620320855615,187
SP_ev,0,partner,2,fold,0.026737967914438502,187
SP_non,0,partner,2,bet_raise,0.011345218800648298,617
SP_non,0,partner,2,call,0.4165316045380875,617
SP_non,0,partner,2,fold,0.5721231766612642,617
NEG_non,0,partner,3,bet_raise,0.36015399422521654,5195
NEG_non,0,partner,3,call,0.34456207892204044,5195
NEG_non,0,partner,3,fold,0.295283926852743,5195
SP_ev,0,partner,3,bet_raise,0.018867924528301886,106
SP_ev,0,partner,3,call,0.8679245283018868,106
SP_ev,0,partner,3,fold,0.11320754716981132,106
SP_non,0,partner,3,bet_raise,0.20098039215686275,204
SP_non,0,partner,3,call,0.6225490196078431,204
SP_non,0,partner,3,fold,0.17647058823529413,204
NEG_non,0,partner,4,bet_raise,0.7303988995873453,1454
NEG_non,0,partner,4,call,0.09284731774415406,1454
NEG_non,0,partner,4,fold,0.1767537826685007,1454
SP_ev,0,partner,4,bet_raise,0.046511627906976744,43
SP_ev,0,partner,4,call,0.6744186046511628,43
SP_ev,0,partner,4,fold,0.27906976744186046,43
SP_non,0,partner,4,bet_raise,0.40384615384615385,52
SP_non,0,partner,4,call,0.5384615384615384,52
SP_non,0,partner,4,fold,0.057692307692307696,52
NEG_non,1,none,0,bet_raise,0.2462652784065188,2209
NEG_non,1,none,0,check,0.7537347215934812,2209
SP_ev,1,none,0,bet_raise,0.2932330827067669,133
SP_ev,1,none,0,check,0.706766917293233,133
SP_non,1,none,0,bet_raise,0.16318785578747627,527
SP_non,1,none,0,check,0.8368121442125237,527
NEG_non,1,none,1,bet_raise,0.24323162870648904,4654
NEG_non,1,none,1,check,0.7567683712935109,4654
SP_ev,1,none,1,bet_raise,0.3180327868852459,305
SP_ev,1,none,1,check,0.6819672131147541,305
SP_non,1,none,1,bet_raise,0.16893732970027248,1101
SP_non,1,none,1,check,0.8310626702997275,1101
NEG_non,1,none,2,bet_raise,0.3101427498121713,6655
NEG_non,1,none,2,check,0.6898572501878287,6655
SP_ev,1,none,2,bet_raise,0.3395061728395062,486
SP_ev,1,none,2,check,0.6604938271604939,486
SP_non,1,none,2,bet_raise,0.19050673508659396,1559
SP_non,1,none,2,check,0.809493264913406,1559
NEG_non,1,none,3,bet_raise,0.5760840290869916,3713
NEG_non,1,none,3,check,0.42391597091300837,3713
SP_ev,1,none,3,bet_raise,0.28901734104046245,346
SP_ev,1,none,3,check,0.7109826589595376,346
SP_non,1,none,3,bet_raise,0.2891304347826087,920
SP_non,1,none,3,check,0.7108695652173913,920
NEG_non,1,none,4,bet_raise,0.7568238213399504,6851
NEG_non,1,none,4,check,0.24317617866004962,6851
SP_ev,1,none,4,bet_raise,0.15217391304347827,690
SP_ev,1,none,4,check,0.8478260869565217,690
SP_non,1,none,4,bet_raise,0.22686567164179106,1675
SP_non,1,none,4,check,0.7731343283582089,1675
NEG_non,1,other,0,bet_raise,0.03218390804597701,435
NEG_non,1,other,0,call,0.2896551724137931,435
NEG_non,1,other,0,fold,0.6781609195402298,435
SP_ev,1,other,0,bet_raise,0.09090909090909091,11
SP_ev,1,other,0,call,0.6363636363636364,11
SP_ev,1,other,0,fold,0.2727272727272727,11
SP_non,1,other,0,bet_raise,0.014814814814814815,135
SP_non,1,other,0,call,0.2518518518518518,135
SP_non,1,other,0,fold,0.7333333333333333,135
NEG_non,1,other,1,bet_raise,0.027122641509433963,848
NEG_non,1,other,1,call,0.3136792452830189,848
NEG_non,1,other,1,fold,0.6591981132075472,848
SP_ev,1,other,1,bet_raise,0.25,20
SP_ev,1,other,1,call,0.45,20
SP_ev,1,other,1,fold,0.3,20
SP_non,1,other,1,bet_raise,0.045714285714285714,350
SP_non,1,other,1,call,0.32285714285714284,350
SP_non,1,other,1,fold,0.6314285714285715,350
NEG_non,1,other,2,bet_raise,0.036923076923076927,1300
NEG_non,1,other,2,call,0.3453846153846154,1300
NEG_non,1,other,2,fold,0.6176923076923077,1300
SP_ev,1,other,2,bet_raise,0.2549019607843137,51
SP_ev,1,other,2,call,0.3333333333333333,51
SP_ev,1,other,2,fold,0.4117647058823529,51
SP_non,1,other,2,bet_raise,0.01949317738791423,513
SP_non,1,other,2,call,0.3157894736842105,513
SP_non,1,other,2,fold,0.6647173489278753,513
NEG_non,1,other,3,bet_raise,0.10984308131241084,701
NEG_non,1,other,3,call,0.5078459343794579,701
NEG_non,1,other,3,fold,0.38231098430813126,701
SP_ev,1,other,3,bet_raise,0.375,56
SP_ev,1,other,3,call,0.5,56
SP_ev,1,other,3,fold,0.125,56
SP_non,1,other,3,bet_raise,0.13220338983050847,295
SP_non,1,other,3,call,0.49491525423728816,295
SP_non,1,other,3,fold,0.3728813559322034,295
NEG_non,1,other,4,bet_raise,0.2619961612284069,1042
NEG_non,1,other,4,call,0.5393474088291746,1042
NEG_non,1,other,4,fold,0.19865642994241842,1042
SP_ev,1,other,4,bet_raise,0.3504273504273504,117
SP_ev,1,other,4,call,0.5470085470085471,117
SP_ev,1,other,4,fold,0.10256410256410256,117
SP_non,1,other,4,bet_raise,0.2926829268292683,533
SP_non,1,other,4,call,0.5121951219512195,533
SP_non,1,other,4,fold,0.1951219512195122,533
NEG_non,1,partner,0,bet_raise,0.027992277992277992,1036
NEG_non,1,partner,0,call,0.2625482625482625,1036
NEG_non,1,partner,0,fold,0.7094594594594594,1036
SP_ev,1,partner,0,bet_raise,0.05263157894736842,19
SP_ev,1,partner,0,call,0.5789473684210527,19
SP_ev,1,partner,0,fold,0.3684210526315789,19
SP_non,1,partner,0,bet_raise,0.012903225806451613,155
SP_non,1,partner,0,call,0.16774193548387098,155
SP_non,1,partner,0,fold,0.8193548387096774,155
NEG_non,1,partner,1,bet_raise,0.023902651021295088,2301
NEG_non,1,partner,1,call,0.28118209474141675,2301
NEG_non,1,partner,1,fold,0.6949152542372882,2301
SP_ev,1,partner,1,call,0.30434782608695654,46
SP_ev,1,partner,1,fold,0.6956521739130435,46
SP_non,1,partner,1,bet_raise,0.013245033112582781,302
SP_non,1,partner,1,call,0.1986754966887417,302
SP_non,1,partner,1,fold,0.7880794701986755,302
NEG_non,1,partner,2,bet_raise,0.04012432890647075,3539
NEG_non,1,partner,2,call,0.3226900254309127,3539
NEG_non,1,partner,2,fold,0.6371856456626166,3539
SP_ev,1,partner,2,bet_raise,0.008620689655172414,116
SP_ev,1,partner,2,call,0.3017241379310345,116
SP_ev,1,partner,2,fold,0.6896551724137931,116
SP_non,1,partner,2,bet_raise,0.006756756756756757,444
SP_non,1,partner,2,call,0.24774774774774774,444
SP_non,1,partner,2,fold,0.7454954954954955,444
NEG_non,1,partner,3,bet_raise,0.11783295711060948,2215
NEG_non,1,partner,3,call,0.5232505643340858,2215
NEG_non,1,partner,3,fold,0.35891647855530473,2215
SP_ev,1,partner,3,bet_raise,0.008928571428571428,112
SP_ev,1,partner,3,call,0.4642857142857143,112
SP_ev,1,partner,3,fold,0.5267857142857143,112
SP_non,1,partner,3,bet_raise,0.04,200
SP_non,1,partner,3,call,0.49,200
SP_non,1,partner,3,fold,0.47,200
NEG_non,1,partner,4,bet_raise,0.27495024168325277,3517
NEG_non,1,partner,4,call,0.5388114870628377,3517
NEG_non,1,partner,4,fold,0.18623827125390957,3517
SP_ev,1,partner,4,bet_raise,0.013513513513513514,296
SP_ev,1,partner,4,call,0.5101351351351351,296
SP_ev,1,partner,4,fold,0.47635135135135137,296
SP_non,1,partner,4,bet_raise,0.07961783439490445,314
SP_non,1,partner,4,call,0.7356687898089171,314
SP_non,1,partner,4,fold,0.18471337579617833,314
