event,flag,NEG,DT,SP,CI,HID,NEG_null,CX_dev,CX_dev_null,CX_dev_negexp,CX_w1,CX_w1_null,CX_evph,EX_eval,EX_eval_null,EX_devph,all_both,both_exp,xs_dev,xs_eval,pos_recall
pf_limpbehind,dirtop_G10,3,1,26,0,3,0,43,51,148.5,32,48,30,52,50,25,0,0.0,-105.5,2,0.068
pf_limpbehind,dirtop_G16,0,0,7,0,1,0,1,4,0.0,1,4,3,4,2,3,0,0.0,-3.0,2,0.018
pf_limpbehind,dirtop_G25,0,0,1,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0.0,-1.0,0,0.003
pf_limpbehind,symtop_G3,0,0,17,0,2,0,25,37,0.0,33,26,18,36,21,34,0,0.0,-12.0,15,0.043
pf_limpbehind,symtop_G6,0,0,4,0,0,0,1,2,0.0,2,2,1,1,1,3,0,0.0,-1.0,0,0.01
pf_limpbehind,symtop_G10,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_limpbehind,gmax_16,0,0,7,0,1,0,1,4,0.0,1,4,3,4,2,3,0,0.0,-3.0,2,0.018
pf_limpbehind,gmax_25,0,0,1,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0.0,-1.0,0,0.003
pf_limpbehind,gmax_40,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_limpbehind,deficit_10,0,0,0,0,0,0,1,2,0.0,1,2,3,5,1,0,0,0.0,-1.0,4,0.0
pf_limpbehind,deficit_16,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_limpbehind,deficit_25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_iso_overY,dirtop_G6,1,0,0,2,0,2,64,67,49.5,54,47,37,67,81,55,0,0.0,-3.0,-14,0.007
pf_iso_overY,dirtop_G10,0,0,0,1,0,0,3,4,0.0,0,3,3,6,4,0,0,0.0,-1.0,2,0.004
pf_iso_overY,dirtop_G16,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_iso_overY,dirtop_G25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_iso_overY,symtop_G3,0,0,0,0,0,0,8,5,0.0,4,6,5,6,5,4,0,0.0,3.0,1,0.0
pf_iso_overY,symtop_G6,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0.0,0.0,-1,0.0
pf_iso_overY,symtop_G10,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_iso_overY,gmax_16,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_iso_overY,gmax_25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_iso_overY,gmax_40,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_iso_overY,deficit_10,1,0,6,0,1,0,11,17,49.5,7,11,7,9,15,7,0,0.0,-38.5,-6,0.015
pf_iso_overY,deficit_16,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0.0,0.0,0,0.0
pf_iso_overY,deficit_25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_overcall_3rd_Yin,dirtop_G6,5,1,82,0,18,7,305,311,247.5,260,257,190,278,339,244,1,1.7,-6.0,-61,0.209
pf_overcall_3rd_Yin,dirtop_G10,0,0,53,0,7,0,28,16,0.0,19,20,7,9,16,15,0,0.0,12.0,-7,0.134
pf_overcall_3rd_Yin,dirtop_G16,0,0,22,0,2,0,0,0,0.0,0,0,0,0,0,1,0,0.0,0.0,0,0.056
pf_overcall_3rd_Yin,dirtop_G25,0,0,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.008
pf_overcall_3rd_Yin,symtop_G3,1,0,50,0,9,0,45,25,49.5,48,22,35,41,26,42,0,0.1,-4.5,15,0.126
pf_overcall_3rd_Yin,symtop_G6,0,0,37,0,7,0,2,0,0.0,1,0,1,0,1,1,0,0.0,2.0,-1,0.093
pf_overcall_3rd_Yin,symtop_G10,0,0,13,0,2,0,0,0,0.0,0,0,0,0,1,0,0,0.0,0.0,-1,0.033
pf_overcall_3rd_Yin,gmax_16,0,0,22,0,2,0,0,0,0.0,0,0,0,0,0,1,0,0.0,0.0,0,0.056
pf_overcall_3rd_Yin,gmax_25,0,0,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.008
pf_overcall_3rd_Yin,gmax_40,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_overcall_3rd_Yin,deficit_10,0,1,0,0,0,1,12,17,0.0,4,7,6,19,12,5,0,0.0,-5.0,7,0.002
pf_overcall_3rd_Yin,deficit_16,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0.0,0.0,-1,0.0
pf_overcall_3rd_Yin,deficit_25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_fold_3rd_Yin,dirtop_G6,0,0,0,0,0,0,0,0,0.0,0,0,1,1,0,0,0,0.0,0.0,1,0.0
pf_fold_3rd_Yin,dirtop_G10,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_fold_3rd_Yin,dirtop_G16,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_fold_3rd_Yin,dirtop_G25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_fold_3rd_Yin,symtop_G3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_fold_3rd_Yin,symtop_G6,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_fold_3rd_Yin,symtop_G10,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_fold_3rd_Yin,gmax_16,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_fold_3rd_Yin,gmax_25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_fold_3rd_Yin,gmax_40,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_fold_3rd_Yin,deficit_10,0,0,18,0,3,0,0,6,0.0,2,1,6,4,11,2,0,0.0,-6.0,-7,0.045
pf_fold_3rd_Yin,deficit_16,0,0,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.005
pf_fold_3rd_Yin,deficit_25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_squeeze_3rd_Yin,dirtop_G6,10,34,0,9,11,11,593,672,495.0,569,588,476,697,839,609,6,8.1,-79.0,-142,0.109
pf_squeeze_3rd_Yin,dirtop_G10,0,10,0,3,4,0,54,63,0.0,55,57,41,59,88,60,0,0.1,-9.0,-29,0.033
pf_squeeze_3rd_Yin,dirtop_G16,0,3,0,0,1,0,5,0,0.0,2,0,0,0,6,0,0,0.0,5.0,-6,0.007
pf_squeeze_3rd_Yin,dirtop_G25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_squeeze_3rd_Yin,symtop_G3,2,2,0,6,4,1,43,35,99.0,37,45,25,42,47,31,0,0.0,-56.0,-5,0.026
pf_squeeze_3rd_Yin,symtop_G6,0,1,0,0,0,0,2,1,0.0,0,0,1,1,1,2,0,0.0,1.0,0,0.002
pf_squeeze_3rd_Yin,symtop_G10,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_squeeze_3rd_Yin,gmax_16,0,3,0,0,1,0,5,0,0.0,2,0,0,0,6,0,0,0.0,5.0,-6,0.007
pf_squeeze_3rd_Yin,gmax_25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_squeeze_3rd_Yin,gmax_40,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_squeeze_3rd_Yin,deficit_10,1,0,2,0,0,0,4,8,49.5,1,2,3,7,3,1,0,0.0,-45.5,4,0.005
pf_squeeze_3rd_Yin,deficit_16,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_squeeze_3rd_Yin,deficit_25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_fold_3rd_Ybehind,dirtop_G6,0,0,0,0,0,0,0,2,0.0,0,0,0,0,1,0,0,0.0,-2.0,-1,0.0
pf_fold_3rd_Ybehind,dirtop_G10,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_fold_3rd_Ybehind,dirtop_G16,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_fold_3rd_Ybehind,dirtop_G25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_fold_3rd_Ybehind,symtop_G3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_fold_3rd_Ybehind,symtop_G6,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_fold_3rd_Ybehind,symtop_G10,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_fold_3rd_Ybehind,gmax_16,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_fold_3rd_Ybehind,gmax_25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_fold_3rd_Ybehind,gmax_40,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_fold_3rd_Ybehind,deficit_10,0,0,0,0,0,0,4,6,0.0,3,6,1,4,5,3,0,0.0,-2.0,-1,0.0
